STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2008,,656,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2009,,721,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2010,,699,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2011,,689,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2012,,619,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2013,,623,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2014,,645,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2015,,655,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2016,,747,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,DE,Germany,2017,,738,,,
